cloudversion	1.0.2
cradlerestart	1.0.2
deviceinfo	1.0.7
devicelogs	1.0.1
devicemirror	1.0.2
devicereboot	1.0.1
deviceshell	1.0.2
hssftp	1.0.2
hsspuppet	1.0.2
hssrdp	1.0.2
hssssh	1.0.2
hssver	1.0.2
hssvnc	1.0.2
mcmftp	1.0.2
mcmip	1.0.0
mcmrestart	1.0.0
mcmssh	1.0.2
mcmver	1.0.0
syslogdump	1.0.2
sysloglimit	1.0.0
